Fan: ON || temperature: 186 || time: 10/25/2019, 6:39:26 AM
Fan: ON || temperature: 189 || time: 10/25/2019, 6:39:26 AM
Fan: ON || temperature: 192 || time: 10/25/2019, 6:39:26 AM
Fan: ON || temperature: 195 || time: 10/25/2019, 6:39:26 AM
Fan: ON || temperature: 198 || time: 10/25/2019, 6:39:26 AM
Fan: ON || temperature: 201 || time: 10/25/2019, 6:39:26 AM
Fan: ON || temperature: 204 || time: 10/25/2019, 6:39:26 AM
Fan: ON || temperature: 207 || time: 10/25/2019, 6:39:26 AM
Fan: ON || temperature: 210 || time: 10/25/2019, 6:39:26 AM
Fan: ON || temperature: 213 || time: 10/25/2019, 6:39:26 AM
Fan: ON || temperature: 216 || time: 10/25/2019, 6:39:26 AM
Fan: ON || temperature: 219 || time: 10/25/2019, 6:39:26 AM
Fan: ON || temperature: 222 || time: 10/25/2019, 6:39:26 AM
Fan: ON || temperature: 225 || time: 10/25/2019, 6:39:26 AM
Fan: ON || temperature: 228 || time: 10/25/2019, 6:39:26 AM
Fan: ON || temperature: 231 || time: 10/25/2019, 6:39:26 AM
Fan: ON || temperature: 234 || time: 10/25/2019, 6:39:26 AM
Fan: ON || temperature: 237 || time: 10/25/2019, 6:39:26 AM
Fan: ON || temperature: 240 || time: 10/25/2019, 6:39:26 AM
Fan: ON || temperature: 243 || time: 10/25/2019, 6:39:26 AM
Fan: ON || temperature: 246 || time: 10/25/2019, 6:39:26 AM
Fan: ON || temperature: 249 || time: 10/25/2019, 6:39:26 AM
Fan: ON || temperature: 252 || time: 10/25/2019, 6:39:26 AM
Fan: ON || temperature: 255 || time: 10/25/2019, 6:39:26 AM
Fan: ON || temperature: 258 || time: 10/25/2019, 6:39:26 AM
Fan: ON || temperature: 261 || time: 10/25/2019, 6:39:26 AM
Fan: ON || temperature: 264 || time: 10/25/2019, 6:39:26 AM
Fan: ON || temperature: 267 || time: 10/25/2019, 6:39:26 AM
Fan: ON || temperature: 270 || time: 10/25/2019, 6:39:26 AM
Fan: ON || temperature: 273 || time: 10/25/2019, 6:39:26 AM
Fan: ON || temperature: 276 || time: 10/25/2019, 6:39:26 AM
Fan: ON || temperature: 279 || time: 10/25/2019, 6:39:26 AM
Fan: ON || temperature: 282 || time: 10/25/2019, 6:39:26 AM
Fan: ON || temperature: 285 || time: 10/25/2019, 6:39:26 AM
Fan: ON || temperature: 288 || time: 10/25/2019, 6:39:26 AM
Fan: ON || temperature: 291 || time: 10/25/2019, 6:39:26 AM
Fan: ON || temperature: 294 || time: 10/25/2019, 6:39:26 AM
Fan: ON || temperature: 297 || time: 10/25/2019, 6:39:26 AM
Fan: ON || temperature: 300 || time: 10/25/2019, 6:39:26 AM
Fan: ON || temperature: 303 || time: 10/25/2019, 6:39:26 AM
Fan: ON || temperature: 306 || time: 10/25/2019, 6:39:26 AM
Fan: ON || temperature: 309 || time: 10/25/2019, 6:39:27 AM
Fan: ON || temperature: 312 || time: 10/25/2019, 6:39:27 AM
Fan: ON || temperature: 315 || time: 10/25/2019, 6:39:27 AM
Fan: ON || temperature: 318 || time: 10/25/2019, 6:39:27 AM
Fan: ON || temperature: 321 || time: 10/25/2019, 6:39:27 AM
Fan: ON || temperature: 324 || time: 10/25/2019, 6:39:27 AM
Fan: ON || temperature: 327 || time: 10/25/2019, 6:39:27 AM
Fan: ON || temperature: 330 || time: 10/25/2019, 6:39:27 AM
Fan: ON || temperature: 333 || time: 10/25/2019, 6:39:27 AM
Fan: ON || temperature: 336 || time: 10/25/2019, 6:39:27 AM
Fan: ON || temperature: 339 || time: 10/25/2019, 6:39:27 AM
Fan: ON || temperature: 342 || time: 10/25/2019, 6:39:27 AM
Fan: ON || temperature: 345 || time: 10/25/2019, 6:39:27 AM
Fan: ON || temperature: 348 || time: 10/25/2019, 6:39:27 AM
Fan: ON || temperature: 351 || time: 10/25/2019, 6:39:27 AM
Fan: ON || temperature: 354 || time: 10/25/2019, 6:39:27 AM
Fan: ON || temperature: 357 || time: 10/25/2019, 6:39:27 AM
Fan: ON || temperature: 360 || time: 10/25/2019, 6:39:27 AM
Fan: ON || temperature: 363 || time: 10/25/2019, 6:39:27 AM
Fan: ON || temperature: 366 || time: 10/25/2019, 6:39:27 AM
Fan: ON || temperature: 369 || time: 10/25/2019, 6:39:27 AM
Fan: ON || temperature: 372 || time: 10/25/2019, 6:39:27 AM
Fan: ON || temperature: 375 || time: 10/25/2019, 6:39:27 AM
Fan: ON || temperature: 378 || time: 10/25/2019, 6:39:27 AM
Fan: ON || temperature: 381 || time: 10/25/2019, 6:39:27 AM
Fan: ON || temperature: 384 || time: 10/25/2019, 6:39:27 AM
Fan: ON || temperature: 387 || time: 10/25/2019, 6:39:27 AM
Fan: ON || temperature: 390 || time: 10/25/2019, 6:39:27 AM
Fan: ON || temperature: 393 || time: 10/25/2019, 6:39:27 AM
Fan: ON || temperature: 396 || time: 10/25/2019, 6:39:27 AM
Fan: ON || temperature: 399 || time: 10/25/2019, 6:39:27 AM
Fan: ON || temperature: 402 || time: 10/25/2019, 6:39:27 AM
Fan: ON || temperature: 405 || time: 10/25/2019, 6:39:27 AM
Fan: ON || temperature: 408 || time: 10/25/2019, 6:39:27 AM
Fan: ON || temperature: 411 || time: 10/25/2019, 6:39:27 AM
Fan: ON || temperature: 414 || time: 10/25/2019, 6:39:27 AM
Fan: ON || temperature: 417 || time: 10/25/2019, 6:39:27 AM
Fan: ON || temperature: 420 || time: 10/25/2019, 6:39:27 AM
Fan: ON || temperature: 423 || time: 10/25/2019, 6:39:27 AM
Fan: ON || temperature: 426 || time: 10/25/2019, 6:39:27 AM
Fan: ON || temperature: 429 || time: 10/25/2019, 6:39:27 AM
Fan: ON || temperature: 432 || time: 10/25/2019, 6:39:27 AM
Fan: ON || temperature: 435 || time: 10/25/2019, 6:39:27 AM
Fan: ON || temperature: 438 || time: 10/25/2019, 6:39:27 AM
Fan: ON || temperature: 441 || time: 10/25/2019, 6:39:27 AM
Fan: ON || temperature: 444 || time: 10/25/2019, 6:39:27 AM
Fan: ON || temperature: 447 || time: 10/25/2019, 6:39:27 AM
Fan: ON || temperature: 450 || time: 10/25/2019, 6:39:27 AM
Fan: ON || temperature: 453 || time: 10/25/2019, 6:39:27 AM
Fan: ON || temperature: 456 || time: 10/25/2019, 6:39:27 AM
Fan: ON || temperature: 459 || time: 10/25/2019, 6:39:27 AM
Fan: ON || temperature: 462 || time: 10/25/2019, 6:39:28 AM
