Fan:  || temperature: 25 || time: 11/1/2019, 11:08:52 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:08:52 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:08:52 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:08:54 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:08:54 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:08:54 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:08:54 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:08:54 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:08:54 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:08:54 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:08:54 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:08:54 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:08:54 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:08:54 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:08:54 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:08:54 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:08:55 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:08:55 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:08:55 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:08:55 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:08:55 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:08:55 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:08:55 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:08:55 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:08:55 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:08:55 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:08:55 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:08:55 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:08:55 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:08:55 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:08:56 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:08:56 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:08:56 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:08:56 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:08:56 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:08:56 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:08:56 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:08:56 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:08:56 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:08:56 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:08:56 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:08:56 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:08:56 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:08:57 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:08:57 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:08:57 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:08:57 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:08:57 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:08:57 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:08:57 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:08:57 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:08:57 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:08:57 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:08:57 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:08:58 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:08:58 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:08:58 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:08:58 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:08:58 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:08:58 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:08:58 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:08:58 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:08:58 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:08:58 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:08:58 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:08:58 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:08:59 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:08:59 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:08:59 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:08:59 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:08:59 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:08:59 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:08:59 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:08:59 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:08:59 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:08:59 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:08:59 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:08:59 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:08:59 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:08:59 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:09:00 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:09:00 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:09:00 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:09:00 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:09:00 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:09:00 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:09:00 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:09:00 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:09:00 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:09:00 AM
